Radius,PS Rate,Seed,Closure Time,Traction,Strain
10.0,2.0,4,32.400000000000006,0.23864761964558273,0.003228347422145859
10.0,2.0,5,37.2,0.24165115180304064,0.003571567989378058
10.0,4.0,1,28.800000000000004,0.2543286610656373,0.004002765967708114
10.0,4.0,2,33.6,0.24391948293111582,0.003921211070908588
10.0,4.0,3,30.000000000000004,0.23991621582695719,0.003244056939422892
10.0,4.0,4,30.000000000000004,0.24348887122135449,0.0034780431663574717
10.0,4.0,5,31.200000000000003,0.2488206407419127,0.003961966157176665
10.0,8.0,1,20.4,0.2532070304450359,0.003688084472693117
10.0,8.0,2,27.6,0.2500477011908218,0.004139621037740799
10.0,8.0,3,26.400000000000002,0.25477025217198157,0.003890148048928684
10.0,8.0,4,28.800000000000004,0.23722552713173553,0.0035469745871241354
10.0,8.0,5,26.400000000000002,0.24941431823563973,0.003628508267701194
10.0,16.0,1,27.6,0.25664407836709974,0.0041643370666619465
10.0,16.0,2,28.800000000000004,0.24742739511846257,0.00430816041495075
10.0,16.0,3,30.000000000000004,0.24728772201653432,0.004365854454479396
10.0,16.0,4,25.2,0.24271149435138398,0.004228049657647645
10.0,16.0,5,32.400000000000006,0.24286923183693918,0.003796641810729951
10.0,1000.0,1,31.200000000000003,0.23696366342485684,0.0034795169600126685
10.0,1000.0,2,32.400000000000006,0.2347012402427287,0.0034136608461918655
10.0,1000.0,3,32.400000000000006,0.24781114174717295,0.003751957160910272
10.0,1000.0,4,33.6,0.23590427571268274,0.003443632186361993
10.0,1000.0,5,33.6,0.24290314022897436,0.003741897948124979
15.0,0.0,1,105.60000000000001,0.23956846490470762,0.006028984026109191
15.0,0.0,2,86.4,0.24412051481522903,0.005773180981971239
15.0,0.0,3,92.4,0.23616676333286796,0.005678248532896394
15.0,0.0,4,81.6,0.23821498207431543,0.0051393651213271115
15.0,0.0,5,85.20000000000002,0.2442423164619233,0.005293893314615982
15.0,1.0,1,66.0,0.25198078646492317,0.005462638745058345
15.0,1.0,2,69.60000000000001,0.24385703444394077,0.005166165438401303
15.0,1.0,3,63.6,0.2590646016511097,0.005625976100186939
15.0,1.0,4,58.80000000000001,0.25566662153092307,0.0053516830222622115
15.0,1.0,5,75.60000000000001,0.2550831422025803,0.005621249397962174
15.0,2.0,1,62.400000000000006,0.25060342236829597,0.005174236939981401
