E,PS Rate,Seed,Closure Time,Traction,Strain
0.5,16,3,75.6,0.15984789,0.006661049
0.125,0,4,81.6,0.084750811,0.006254841
0.125,1,4,86.4,0.091201146,0.007443281
0.125,2,4,57.6,0.089504606,0.007261535
0.125,4,4,60,0.087499616,0.006792785
0.125,8,4,58.8,0.086526379,0.006355732
0.125,1000,4,79.2,0.083064468,0.005413591
0.125,16,4,73.2,0.087888468,0.006143834
0.25,0,4,76.8,0.123061191,0.007931049
0.25,1,4,85.2,0.127333862,0.008316885
0.25,2,4,61.2,0.126462052,0.007963036
0.25,4,4,51.6,0.127392716,0.007544468
0.25,8,4,45.6,0.127733694,0.007891361
0.25,1000,4,87.6,0.115719801,0.006090073
0.25,16,4,69.6,0.124510201,0.006909841
0.5,0,4,74.4,0.160822807,0.008584771
0.5,1,4,66,0.176053567,0.008941294
0.5,2,4,51.6,0.177885171,0.009616275
0.5,4,4,52.8,0.173595684,0.007949352
0.5,8,4,64.8,0.167138199,0.008022629
0.5,1000,4,82.8,0.15469426,0.006142771
0.5,16,4,70.8,0.165577188,0.007514163
0.125,0,5,97.2,0.088366857,0.007012725
0.125,1,5,63.6,0.091084827,0.007535638
0.125,2,5,55.2,0.08870017,0.006561429
0.125,4,5,50.4,0.089542167,0.006881723
0.125,8,5,46.8,0.089066503,0.006895471
0.125,1000,5,79.2,0.083841605,0.005558033
0.125,16,5,67.2,0.086699819,0.006129915
0.25,0,5,68.4,0.125560061,0.008061301
0.25,1,5,61.2,0.130218667,0.008186499
0.25,2,5,63.6,0.126296734,0.007770734
0.25,4,5,57.6,0.125320302,0.007334294
0.25,8,5,54,0.130803168,0.007994963
0.25,1000,5,81.6,0.114069614,0.005920925
0.25,16,5,64.8,0.127073677,0.007486723
0.5,0,5,73.2,0.16570577,0.009012719
0.5,1,5,64.8,0.170172668,0.008877831
0.5,2,5,58.8,0.174498229,0.008869942
0.5,4,5,49.2,0.176709276,0.008300361
0.5,8,5,57.6,0.172213147,0.008201242
0.5,1000,5,82.8,0.156061752,0.006354053
0.5,16,5,67.2,0.166070083,0.007163997
0.125,0,6,82.8,0.087564617,0.006605809
0.125,1,6,62.4,0.082349809,0.0057409
0.125,2,6,52.8,0.086341165,0.006343084
0.125,4,6,52.8,0.089185624,0.007164279
0.125,8,6,58.8,0.088343831,0.006802628
0.125,1000,6,79.2,0.083635028,0.005587178
0.125,16,6,81.6,0.083918045,0.005645927
0.25,0,6,73.2,0.122064215,0.007411385
0.25,1,6,73.2,0.123829327,0.007487313
0.25,2,6,51.6,0.127831892,0.008321944
0.25,4,6,46.8,0.125465136,0.008122967
0.25,8,6,69.6,0.122252158,0.007003396
0.25,1000,6,81.6,0.119198415,0.006446369
0.25,16,6,82.8,0.115147024,0.005989958
0.5,0,6,72,0.163115422,0.007847822
0.5,1,6,67.2,0.162316128,0.007674619
0.5,2,6,55.2,0.172053538,0.008913998
0.5,4,6,45.6,0.178843221,0.008755453
0.5,8,6,52.8,0.169022109,0.008307772
0.5,1000,6,92.4,0.153694765,0.006237977
0.5,16,6,79.2,0.156401251,0.006329395
32,0,1,76.8,0.349275457,0.002647274
32,1,1,70.8,0.361319264,0.002470582
32,2,1,52.8,0.405454059,0.003507256
32,4,1,64.8,0.363574047,0.002968365
32,8,1,98.4,0.308118121,0.002417887
32,16,1,102,0.278014319,0.001784303
32,1000,1,99.6,0.296602664,0.002200107
64,0,1,76.8,0.366506469,0.001655177
64,1,1,67.2,0.388668525,0.001828586
64,2,1,61.2,0.401563841,0.002103632
64,4,1,64.8,0.371600683,0.001791221
64,8,1,85.2,0.333260348,0.001530604
64,16,1,70.8,0.350117197,0.001686137
64,1000,1,100.8,0.29376027,0.001336073
32,0,2,74.4,0.343383444,0.00236177
32,1,2,67.2,0.363834813,0.002548006
32,2,2,63.6,0.377074687,0.002891863
32,4,2,63.6,0.379527889,0.003268502
32,8,2,52.8,0.377968193,0.003434158
32,16,2,115.2,0.30087833,0.002189688
32,1000,2,121.2,0.274971169,0.001857167
64,0,2,75.6,0.367475788,0.001673943
64,1,2,64.8,0.401091663,0.002096595
64,2,2,74.4,0.367764744,0.001793564
64,4,2,81.6,0.357288294,0.002057244
64,8,2,87.6,0.333058778,0.001689141
64,16,2,81.6,0.334311223,0.001730187
64,1000,2,115.2,0.294029634,0.001376085
32,0,3,87.6,0.337478667,0.002105746
32,1,3,75.6,0.348204303,0.002498127
32,2,3,61.2,0.382064635,0.00309802
32,4,3,56.4,0.393997913,0.003470139
32,8,3,75.6,0.337136328,0.002525909
32,16,3,92.4,0.321075645,0.002638588
32,1000,3,104.4,0.294856229,0.002382937
64,0,3,75.6,0.377587948,0.001954846
64,1,3,68.4,0.392242792,0.002019252
64,2,3,55.2,0.408043665,0.001954184
64,4,3,57.6,0.416047463,0.002474741
64,8,3,82.8,0.359111523,0.001946551
64,16,3,97.2,0.320504207,0.001458712
64,1000,3,112.8,0.293760756,0.00127824
32,0,4,75.6,0.355624415,0.002889426
32,1,4,76.8,0.370383958,0.003071059
32,2,4,58.8,0.374188072,0.002814787
32,4,4,54,0.374608368,0.002891431
32,8,4,91.2,0.317963225,0.002601694
32,16,4,94.8,0.31421119,0.002604427
32,1000,4,110.4,0.288817332,0.002226863
64,0,4,81.6,0.366181825,0.001919861
64,1,4,68.4,0.394809634,0.001874222
64,2,4,57.6,0.399953949,0.002347037
64,4,4,55.2,0.420507081,0.00260217
64,8,4,62.4,0.378805916,0.001957565
64,16,4,85.2,0.337380161,0.001586126
64,1000,4,110.4,0.298891155,0.001465563
32,0,5,76.8,0.341317719,0.002495034
32,1,5,61.2,0.390438741,0.003266633
32,2,5,57.6,0.393915362,0.003616677
32,4,5,79.2,0.351414098,0.002915815
32,8,5,75.6,0.358446116,0.002983306
32,16,5,86.4,0.316301565,0.00246723
32,1000,5,93.6,0.313083857,0.002786198
64,0,5,74.4,0.371708578,0.001748273
64,1,5,62.4,0.385558314,0.002108799
64,2,5,61.2,0.392046867,0.002328431
64,4,5,75.6,0.364518786,0.002209306
64,8,5,90,0.335467563,0.001899484
64,16,5,85.2,0.322683945,0.001681684
64,1000,5,93.6,0.300299597,0.001364728
32,0,6,76.8,0.353732048,0.002856579
32,1,6,58.8,0.39018427,0.003010251
32,2,6,55.2,0.389641148,0.003423901
32,4,6,56.4,0.37799223,0.003636212
32,8,6,86.4,0.32737133,0.002718306
32,16,6,90,0.310763027,0.002295515
32,1000,6,111.6,0.292899095,0.002074916
64,0,6,78,0.3624804,0.00160637
64,1,6,64.8,0.401295323,0.002179169
64,2,6,60,0.396972903,0.002184181
64,4,6,57.6,0.40602729,0.002268042
64,8,6,87.6,0.345813285,0.001805562
64,16,6,93.6,0.320030298,0.001633151
64,1000,6,104.4,0.29309158,0.00116403
