P0,PS Rate,Seed,Total T1s,Closure Time,Traction,Strain,Guidance,Rearrangement,T1 Rate
3.0,8.0,3,52.0,88.80000000000001,0.20996807766387907,0.006306102260067668,0.9171802609767501,0.0828197390232499,0.5855855855855855
3.0,8.0,4,112.0,106.80000000000001,0.18690648207602514,0.004890351478669184,0.8827400682134794,0.11725993178652061,1.048689138576779
3.0,8.0,5,68.0,74.4,0.21077563212838982,0.0055295147189072455,0.9165954746271571,0.08340452537284293,0.9139784946236559
3.0,16.0,1,48.0,97.2,0.1941423492061291,0.005591787375076431,0.9415474654210364,0.0584525345789636,0.49382716049382713
3.0,16.0,2,36.0,94.80000000000001,0.19647712154407476,0.005346233839058142,0.9525491557261572,0.04745084427384283,0.37974683544303794
3.0,16.0,3,56.0,110.4,0.18141161817376691,0.004921933859193516,0.9489896417048735,0.05101035829512646,0.5072463768115941
3.0,16.0,4,99.0,97.2,0.1871852986532404,0.004657626380102454,0.9135347627096112,0.0864652372903888,1.0185185185185184
3.0,16.0,5,52.0,91.20000000000002,0.18751391827958064,0.004727626651076411,0.9451996342578483,0.054800365742151746,0.5701754385964911
3.0,1000.0,1,56.0,92.4,0.1832289949765985,0.004491496171986809,0.9401658877209835,0.05983411227901647,0.6060606060606061
3.0,1000.0,2,36.0,104.4,0.19101149548967652,0.005409834057612976,0.9792378015199912,0.02076219848000882,0.3448275862068965
3.0,1000.0,3,52.0,106.80000000000001,0.18418470645727494,0.005039544275404568,0.9663281481352448,0.03367185186475519,0.48689138576779023
3.0,1000.0,4,76.0,98.40000000000002,0.17981616328090294,0.004383617253215091,0.947690824016859,0.052309175983141,0.7723577235772356
3.0,1000.0,5,56.0,103.2,0.18518761229833158,0.004868967704099728,0.9634123544906109,0.03658764550938909,0.5426356589147286
3.2,0.0,1,84.0,84.0,0.22263490275364917,0.006905451847443113,0.6928270621624096,0.30717293783759037,1.0
3.2,0.0,2,64.0,82.80000000000001,0.2210772112105074,0.006494798556602188,0.6713975132520702,0.3286024867479298,0.7729468599033815
